latitud,longitud,altura(m)
7.1382268,-73.1290176,953
7.1380681,-73.1289852,954
7.137991,-73.1287288,955
7.1380271,-73.1285425,956
7.1380479,-73.1284372,957
7.1380921,-73.1282136,958
7.1381203,-73.1280711,959
7.1381432,-73.1279555,960
7.1381838,-73.1277511,961
7.1382223,-73.1275588,962
7.1382579,-73.1273811,963
7.1382874,-73.1272321,964
7.1383252,-73.1270364,965
7.1383423,-73.1269474,965
7.1383783,-73.1267591,966
7.1383952,-73.12667,967
7.1384325,-73.1264726,968
7.1384958,-73.1261442,969
7.1385476,-73.1258752,970
7.1386039,-73.1255816,971
7.138636,-73.12542,971
7.1386784,-73.1252068,972
7.1387618,-73.1247853,973
7.1388072,-73.1245699,974
7.1388705,-73.1242743,975
7.1389505,-73.1238996,977
7.1389902,-73.1236717,978
7.1390415,-73.123378,980
7.1390909,-73.1230957,981
7.1392478,-73.1230867,981
7.1394499,-73.1231231,981
7.1396775,-73.1231698,981
7.13988,-73.1232135,981
